key,en,fr,es,nl
count-annotations,0 annotation | 1 annotation | {count} annotations,0 annotation | 1 annotation | {count} annotations,0 anotación | 1 anotación | {count} anotaciones,0 annotatie | 1 annotatie | {tel} annotaties
count-bands,- | 1 band | {count} bands,- | 1 bande | {count} bandes,,- | 1 bandje | {tel} bands
count-copied-annot-links,Copied annotation has no other link.|Copied annotation already has <strong>one</strong> link.|Copied annotation already has <strong>{count}</strong> links.,L'annotation copiée n'a pas de lien.|L'annotation copiée a déjà <strong>un</strong> lien.|L'annotation copiée a déjà <strong>{count}</strong> liens.,La anotación copiada no tiene otro enlace.|La anotación copiada ya tiene <strong>uno</strong> enlace.|La anotación copiada ya tiene <strong>{count}</strong> enlaces.,Gekopieerde annotatie heeft geen andere link.|Gekopieerde annotatie heeft al <strong>één</strong> link.|Gekopieerde annotatie heeft al <strong>{count}</strong> links.
count-files,0 file | 1 file | {count} files,0 fichier | 1 fichier | {count} fichiers,0 archivo | 1 archivo | {count} archivos,0 file| 1 file | {count} files
count-frames,- | 1 frame | {count} frames,- | 1 frame | {count} frames,,- | 1 frame | {tel} frames
count-per-page,{count} per page,{count} par page,{count} por página,{count} per pagina
count-reviewed-annotations,0 reviewed annotation | 1 reviewed annotation | {count} reviewed annotations,0 annotation validée | 1 annotation validée | {count} annotations validées,0 anotación revisada | 1 anotación revisada | {count} anotaciones revisadas,0 annotatie gevalideerd | 1 annotatie gevalideerd | {count} gevalideerde annotaties
count-slices,- | 1 slice | {count} slices,- | 1 plan | {count} plans,,- | plan | {tel} plannen
count-viewers,no viewer | viewer | {count} viewers,aucun visualisateur | visualisateurs | {count} visualisateurs,sin visores | visor | {count} visores,geen kijker | kijkers | {count} kijkers
create-image-group,Create new image group,Créer un nouveau groupe d'images,Crear nuevo grupo de imágenes,Maak een nieuwe afbeeldingsgroep
create-ontology-for-project,Create ontology using project name,Créer une ontologie ayant le même nom que le projet,Crear ontología usando el nombre del proyecto,Maak een ontologie met dezelfde naam als het project
create-ontology,Create ontology,Créer une ontologie,Crear ontología,Ontologie creëeren
create-project,Create project,Créer un projet,Crear proyecto,Een project aanmaken
create-tag,Create tag,Créer un tag,Crear etiqueta,Een tag maken
create-term,Create term,Créer un terme,Crear término,Een term creëeren
create-track,Create track,Créer une trace,,Maak een track
create-user,Create user,Créer un utilisateur,Crear usuario,Maak een user aan
created-by,Created by,Créé par,Creado por,Gemaakt door
created,Created,Créé,Creado,Gemaakt
created-on,Created on,Créé le,Creado el,Gecreëerd op
creation-date,Creation date,Date de création,Fecha de creación,Aanmaakdatum
creation-info,Creation information,Informations sur la création,Información sobre la creación,Creatie informatie
creator,Creator,Créateur,Creador,Schepper
current-selection,Current selection,Sélection,Selección actual,Selectie
currently-visible-annotations-for-track,Currently visible annotations for track,Annotations actuellement visibles pour la trace,,Annotaties die momenteel zichtbaar zijn voor de tracering
currently,Currently,Actuellement,Actualmente,Momenteel
currently-visible-annotations-with,Currently visible annotations with,Annotations actuellement visibles avec,,Momenteel zichtbaar annotatie met
custom-ui,Custom UI,Personnalisation de l'interface,Personalizada interfaz,Custom interface (UI)
cytomine-company,Cytomine company,Société Cytomine,Compañía de Cytomine,Cytomine bedrijf
cytomine-company-info,"For service requests (e.g. installation, hosting, maintenance, trainings, specific software developments, slide scanning), please contact the {websiteCompanyLink}.","Pour des services (e.g. installation, hébergement, maintenance, formations, développements logiciels spécifiques, slide scanning), contactez la {websiteCompanyLink}.","Para solicitudes de servicio (por ejemplo, instalación, hospedaje, mantenimiento, capacitación, desarrollo de software específico, escaneo de diapositivas), comuníquese con {websiteCompanyLink}.","Voor serviceaanvragen (bijv. installatie, hosting, onderhoud, trainingen, specifieke softwareontwikkelingen, dia's scannen), kunt u contact opnemen met de {websiteCompanyLink}."
cytomine-sponsors-info,Cytomine Community Edition is developed by the University of Liège and was previously funded by research grants of the Wallonia.,Cytomine Community Edition est développé par l'Université de Liège et a été subventionné par des conventions de recherche de la Région Wallone.,Cytomine Community Edition es desarrollado por la Universidad de Lieja y anteriormente fue financiado mediante becas de investigación de Valonia.,Cytomine Community Edition werd ontwikkeld door de Universiteit van Luik en wordt gesubsidieerd door onderzoeksovereenkomsten van het Waalse Gewest.
cytomine-org-info,You can find more information on the website of the Cytomine project ({websiteOrgLink}).,Vous trouverez davantage d'information sur le site web du projet Cytomine ({websiteOrgLink}).,Puede encontrar más información en el sitio web del proyecto Cytomine ({websiteOrgLink}).,U kunt meer informatie vinden op de website van het Cytomine-project ({websiteOrgLink}).
cytomine-website-info,You can find more information on the website of the Cytomine project located at {websiteLink}.,Vous trouverez davantage d'information sur le site web du projet Cytomine : {websiteLink}.,Puede encontrar más información en el sitio web del proyecto Cytomine ubicado en {websiteLink}.,Meer informatie vindt u op de website van het Cytomine-project: {websiteLink}.
cytomine-uliege-info,Research and development of this experimental version is supported by the {websiteULiegeLink}.,La recherche et développement de cette version expérimentale sont fournis par l'{websiteULiegeLink}.,La investigación y el desarrollo de esta versión experimental cuentan con el apoyo de {websiteULiegeLink}.,Onderzoek en ontwikkeling van deze experimentele versie wordt ondersteund door de {websiteULiegeLink}.
dashboard,Dashboard,Tableau de bord,Panel principal,Dashboard
cytomine-uliege-team,Cytomine team at the University of Liège,équipe Cytomine à l'Université de Liège,Equipo de Cytomine en la Universidad de Lieja,Cytomine-team aan de Universiteit van Luik
data-last-updated-on,Data refreshed at {time},Données mises à jours à {time},Datos actualizados a las {time},Gegevens geupdated om {time}
data,Data,Données,Datos,Data
date,Date,Date,Fecha,Datum
day,Day,Jour,Día,Dag
default-annotation-layers,Default annotation layers,Calques chargés par défaut,Capas de anotación predeterminadas,Lagen worden standaard geladen
default-property,Default property,Propriété par défaut,Propiedad por defecto,Default eigenschap
default-value,Default value,Valeur par défaut,Valor por defecto,Eigenschap door uitsluiting
delete-data,Delete data,Supprimer les données,Borrar datos,Verwijder data
delete,Delete,Supprimer,Eliminar,verwijderen
delete-image-confirmation-message,Do you really want to delete image {imageName}? <br> All data will be deleted! This operation will not be recoverable with undo button!,Êtes-vous sûr de vouloir supprimer l'image {imageName} ? <br> Cette action ne pourra être annulée,¿Realmente quieres eliminar la imagen {imageName}? <br> ¡Todos los datos serán eliminados! ¡Esta operación no se puede deshacer!,Bent u zeker dat u afbeelding {imageName} wilt verwijderen? <br> Deze actie kan niet ongedaan worden gemaakt
delete-image,Delete image,Supprimer l'image,Eliminar Imagen,Afbeelding verwijderen
delete-project-confirmation-message,Do you really want to delete project {projectName}? <br> All data will be deleted! This operation will not be recoverable with undo button!,Êtes-vous sûr de vouloir supprimer le projet {projectName} ? <br> Toutes les données de ce projet seront irrémédiablement perdues,¿Realmente desea eliminar el proyecto {projectName}? <br> ¡Todos los datos serán eliminados! ¡Esta operación no se puede deshacer!,Bent u zeker dat u het project {projectName} wilt verwijderen? <br> Alle gegevens in dit project gaan onherstelbaar verloren
delete-image-group,Delete image group,Supprimer le groupe d'images,Eliminar grupo de imágenes,Afbeeldingsgroep verwijderen
delete-project,Delete project,Supprimer le projet,Eliminar proyecto,Project verwijderen
delete-image-group-confirmation-message,Do you really want to delete image group {groupName}? <br> All annotation links will be deleted! This operation will not be recoverable with undo button!,Êtes-vous sûr de vouloir supprimer le groupe d'images {groupName} ? <br> Cette action ne pourra être annulée,¿Realmente desea eliminar el grupo de imágenes {groupName}? <br> ¡Se eliminarán todos los enlaces de anotaciones! ¡Esta operación no será recuperable con el botón de deshacer!,Weet je zeker dat je afbeeldingsgroep {groupName} wilt verwijderen? <br> Alle annotatielinks worden verwijderd! Deze bewerking kan niet worden hersteld met de knop Ongedaan maken!
delete-tag-confirmation-message,Do you really want to delete tag {tagName}? <br> All associations will be deleted!,Êtes-vous sûr de vouloir supprimer le tag {projectName} ? <br> Toutes les associations seront irrémédiablement perdues,¿Realmente desea eliminar la etiqueta {tagName}? <br> ¡Todas las asociaciones serán eliminadas!,Bent u zeker dat u de {projectName}-tag wilt verwijderen? <br> Alle verenigingen gaan onherstelbaar verloren
delete-image-group-link,Remove image from its image group,Retirer l'image de son groupe d'images,Eliminar imagen de su grupo de imágenes,Afbeelding uit de afbeeldingsgroep verwijderen
delete-tag,Delete tag,Supprimer le tag,Eliminar etiqueta,Tag verwijderen
delete-image-group-link-confirmation-message,Do you really want to remove image {imageName} from its image group? <br> All related annotation links be deleted! This operation will not be recoverable with undo button!,Êtes-vous sûr de vouloir retirer l'image {imageName} de son groupe d'images ? <br> Cette action ne pourra être annulée,¿Realmente desea eliminar la imagen {imageName} de su grupo de imágenes? <br> ¡Se eliminarán todos los enlaces de anotaciones relacionados! ¡Esta operación no será recuperable con el botón de deshacer!,Weet u zeker dat u afbeelding {imageName} uit de afbeeldingsgroep wilt verwijderen? <br> Alle gerelateerde annotatielinks worden verwijderd! Deze bewerking kan niet worden hersteld met de knop Ongedaan maken!
deployed,Deployed,Déployé,Desplegado,Ingezet
deploying,Deploying,Déploiement en cours,,Implementatie bezig
deprecated,Deprecated,Déprécié,Obsoleto,Verouderd
description,Description,Description,Descripción,Beschrijving
depth-spectra,Depth spectra,Spectre de profondeur,espectros de profundidad,Diepte spectra
detailed-image-consultations,Detailed image consultations,Détails des consultations d'image,Consultas detalladas de imagen,Afbeeldingsweergave details
detailed-image-information,Detailed information of image {imageName},Informations détaillées de l'image {imageName},Información detallada de la imagen {imageName},Gedetailleerde informatie van de afbeelding {imageName}
detailed-project-connections,Detailed project connections,Détails des connexions au projet,Conexiones detalladas del proyecto,Details van projectverbindingen
detecting-format,Detecting format,Détection de format en cours,,Formaatdetectie wordt uitgevoerd
developer-mode,Developer mode,Mode développeur,,Developersmodus
different-image-group,Incompatible image group,Groupe d'image incompatible,Grupo de imágenes incompatibles,Incompatibele afbeeldingsgroep
digital-zoom-checkbox-label,Enable digital zoom (interpolation),Activer le zoom digital (par interpolation),Habilitar zoom digital (interpolación),Digitale zoom inschakelen (door interpolatie)
digital-zoom,Digital zoom,Zoom digital,Zoom digital,Digitale zoom
disabled,Disabled,Désactivé,Dehabilitado,Uitgeschalekd
display-annot-details,Display details of currently selected annotation,Afficher les détails de l'annotation sélectionnée,Mostrar detalles de la anotación seleccionada,Bekijk details van geselecteerde annotatie
display,Display,Affichage,Monitor,Display
dockerhub,DockerHub,DockerHub,DockerHub,DockerHub
documentation-info,A complete documentation is available {docLink}.,Une documentation complète est disponible {docLink}.,La documentación completa está disponible {docLink}.,Volledige documentatie is beschikbaar {docLink}.
documentation,Documentation,Documentation,Documentación,Documentatie
domain,Cytomine domain,Domaine Cytomine,Dominio de Cytomine,Cytomine-domein
dont-have-access-to-any-ontology,You don't have access to any ontology,Vous n'avez accès à aucune ontologie,No tiene acceso a ninguna ontología.,U hebt geen toegang tot ontologie
download-CSV,Download CSV,Télécharger le CSV,Descargar CSV,CSV downloaden
download-excel,Download Excel,Télécharger l'Excel,Descargar Excel,Excel downloaden
download-PDF,Download PDF,Télécharger le PDF,Descargar PDF,Download PDF
download-permission,Download permission,Permission de téléchargement,Permiso de descarga,Download toestemming
download-results,Download results,Télécharger les résultats,Descargar resultados,Resultaten downloaden
drag-drop-upload-info,"You can drag & drop files from your desktop on the ""{labelButton}"" button with Google Chrome, Mozilla Firefox and Apple Safari.","Si vous utilisez Google Chrome, Mozilla Firefox ou Apple Safari, vous pouvez glisser-déposer des fichiers depuis votre ordinateur sur le bouton ""{labelButton}"".","Puede arrastrar y soltar archivos desde su escritorio en el botón &quot;{labelButton}&quot; con Google Chrome, Mozilla Firefox y Apple Safari.","Als u Google Chrome, Mozilla Firefox of Apple Safari gebruikt, kunt u files van uw computer naar de ""{labelButton}""-knop slepen en neerzetten."
draw-tools,Draw tools,Outils de tracé,Herramientas de dibujo,Draw tools
draw,Draw,Outils d'annotations,Herramientas de anotación,Tools voor annotaties
duration,Duration,Durée,Duración,Duur
editing-mode-explanation,"Editing mode will change authorisations of contributors. Project managers will still be able to see, add, edit or delete data for this project.","Le mode d'édition détermine les permissions des contributeurs. Les responsables du projet auront toujours la possibilité de voir, ajouter, éditer et supprimer les données de ce projet","El modo de edición cambiará las autorizaciones de los colaboradores. Los administradores de proyecto aún podrán ver, agregar, editar o eliminar datos para este proyecto.","De editingmodus bepaalt de machtigingen van bijdragers. Projectmanagers hebben nog steeds de mogelijkheid om gegevens voor dat project te bekijken, toe te voegen, te bewerken en te verwijderen"
editing-mode,Editing mode,Mode d'édition,Modo de edición,Editingmodus
eligible-images-in-this-viewer,Currently displayed images from {imageGroup} image group,Images du groupe d'images {imageGroup} actuellement affichées,Imágenes mostradas actualmente del grupo de imágenes {imageGroup},Momenteel weergegeven afbeeldingen van de {imageGroup}-afbeeldingsgroep
email,Email address,Adresse e-mail,Correo electrónico,E-mailadres
eligible-images-not-in-this-viewer,Currently hidden images from {imageGroup} image group,Images du groupe d'images {imageGroup} actuellement non affichées,Imágenes actualmente ocultas del grupo de imágenes {imageGroup},Momenteel verborgen afbeeldingen van {imageGroup} afbeeldingsgroep
enabled,Enabled,Activé,Habilitado,Ingeschakeld
end-tracking-user-no-longer-broadcasting,Stopped following {username} on image {imageName} because he/she no longer broadcasts his/her position,Le suivi de {username} dans l'image {imageName} a été interrompu car il/elle a cessé de diffuser sa position.,El usuario {username} a interrumpido la transmisión de su posición en la imagen {imageName},Het volgen van {username} in afbeelding {imageName} is gestopt omdat hij/zij is gestopt met het uitzenden van zijn/haar locatie.
enter-comment,Enter your comment,Saisissez votre commentaire,Introduzca su comentario,Voer uw opmerking in
enter-description,Enter description,Saisissez une description,Introduzca la descripción,Voer een beschrijving in
enter-new-name-of-image,Enter the new name to use for this image,Nouveau nom de l'image,Ingrese el nuevo nombre de imagen,Nieuwe afbeeldingsnaam
enter-text,Enter text,Saisissez du texte,Introduzca texto,Tekst invoeren
environment-provider-name,Environment provider username,Nom d'utilisateur du fournisseur de l'environnement d'exécution,Nombre de usuario del proveedor del entorno,usersnaam van de omgeving-provider
environment-provider,Environment provider,Fournisseur de l'environnement d'exécution,Proveedor del entorno,Omgeving-provider
error-attached-files,Error fetching attached files,Erreur lors du chargement des fichiers joints,Error al recuperar archivos adjuntos,Fout bij het laden van bijgevoegde bestanden
error,Error,Erreur,Error,Fout
error-cannot-upload,Unexpected error prevents upload,Une erreur inattendue empêche les uploads,Un error inesperado impide la carga,Een onverwachte fout verhindert uploads
error-convert,Conversion error,Erreur de conversion,Error de conversión,Conversie error
error-deployment,Deployment error,Erreur de déploiement,Error de despliegue,Implementatiefout
error-extraction,Extraction error,Erreur d'extraction,,Ophaal error
error-failed-to-fetch-image-consultations,Error: failed to fetch image consultations,Une erreur a eu lieu lors de la récupération des consultations d'images,Error: no se pudo recuperar las consultas de imagen,Er is een fout opgetreden bij het ophalen van afbeeldingsweergaven
error-fetch-properties,Error fetching properties,Erreur lors du chargement des propriétés,Error al recuperar propiedades,Fout bij het laden van eigenschappen
error-format,Format error,Erreur de format,Error de formato,Formaat error
error-integrity,Corrupted file,Fichier corrompu,,Beschadigd bestand
error-load-annotations-filters,Failed to load all annotation filters,Une erreur a eu lieu lors du chargement des filtres d'annotations,Error al cargar todos los filtros de anotación,Er is een fout opgetreden bij het laden van annotatiefilters
error-loading-image-bad-project,At least one image is not in the project from the link, Au moins une image n'est pas dans le project associé au lien,,Ten minste één afbeelding bevindt zich niet in het project dat aan de link is gekoppeld
error-loading-image,An error occurred during image loading,Une erreur a eu lieu lors du chargement de l'image,Se produjo un error durante la carga de la imagen,Er is een fout opgetreden tijdens het laden van de afbeelding
error-unpacking,Unpacking error,Erreur de décompression,,Decompressie fout
execute-command,Execute command,Commande d'exécution,Ejecutar comando,Run-command
execution-date,Execution date,Date d'exécution,Fecha de ejecución,Executie datum
execution-duration,Execution duration,Durée de l'exécution,Duración de la ejecución,Uitvoertijd
execution-log,Execution log,Log d'exécution,Registro de ejecución,Uitvoeringslogboek
extracting-data,Extracting data,Extraction des données en cours,,Gegevensextractie wordt uitgevoerd
failed-fetch-annots,Failed to fetch annotations,Une erreur a empêché le chargement des annotations,Error al recuperar anotaciones,Door een fout konden annotaties niet worden geladen
failed,Failed,Échoué,Fallido,Failed
failed-fetch-current-stats,Failed to fetch current statistics,Une erreur a eu lieu lors du chargement des statistiques sur l'activité en cours,Error al recuperar las estadísticas actuales,Er is een fout opgetreden bij het laden van statistieken over de huidige activiteit
failed-fetch-profile,Failed to fetch image profile,Une erreur a empêché le chargement du profil,,Door een fout kon het profiel niet worden geladen
failed-fetch-recent-projects,Failed to fetch recent projects,Erreur lors du chargement des projets récents,Error al buscar proyectos recientes,Fout bij het laden van recente projecten
failed-fetch-total-counts,Failed to fetch the total counts,Une erreur a eu lieu lors du chargement des statistiques,No se pudo obtener el recuento total,Er is een fout opgetreden tijdens het laden van statistieken
fav,Fav.,Fav.,Fav.,Fav.
favorite,Favorite,Favori,Favorito,Favoriet
file-tree,File tree,Arborescence de fichiers,Árbol de archivos,Fileboom
filename,Filename,Nom de fichier,Nombre del archivo,Filenaam
files,Files,Fichiers,Archivos,Files
fill,Fill,Remplir,Rellenar,Invullen
filter,Filter,Filtre,Filtrar,Filter
filters,Filters,Filtres,Filtros,Filters
first-consultation,First consultation,Première consultation,Primera consulta,Eerste afbeelding consult
first-project-connection,First project connection,Première connexion au projet,Primera conexión al proyecto,Eerste verbinding met het project
firstname,First name,Prénom,Nombre,Voornaam
fluorescence-spectra,Fluorescence spectra,Spectre de fluorescence,Espectros de fluorescencia,Fluorescentie spectra
follow-user,Follow a user,Suivi d'utilisateur,Seguir a un usuario,User opvolging
followers,Followers,Suiveurs,,Volgers
forgot-credentials,Forgot your {username} or your {password}?,Vous avez oublié votre {username} ou votre {password} ?,¿Olvidó su {username} o su {password}?,{Usersnaam} of {wachtwoord} vergeten?
forgot-password,Forgot password,Mot de passe oublié,Olvidó su contraseña,Wachtwoord vergeten
forgot-username,Forgot username,Nom d'utilisateur oublié,Olvidó su nombre de usuario,Usersnaam vergeten
format,Format,Format,Formato,Formaat
forum-image-sc,Image.sc forum,forum Image.sc,Foro de imagen.sc,Image.sc-forum
frame-per-second,f/s,f/s,,f/s
forum-info,We kindly encourage you to ask user-related questions on the {forumLink}.,Nous vous encourageons à poser vos questions sur le {forumLink}.,Le recomendamos que haga preguntas relacionadas con los usuarios en {forumLink}.,We raden u aan gebruikersgerelateerde vragen te stellen op de {forumLink}.
frame-rate,Frame rate,Débit des frames,,Frame rate
freehand-correct-add,Correct annotation by adding a freehand area,Corriger l'annotation en lui ajoutant un polygone à main levée,Correjir la anotación agregando un área a mano alzada,Corrigeer de annotatie door er een polygoon uit de vrije hand aan toe te voegen
freehand-correct-remove,Correct annotation by removing a freehand area,Corriger l'annotation en lui soustrayant un polygone à main levée,Correjir la anotación eliminando un área a mano alzada,Corrigeer de annotatie door er een polygoon uit de vrije hand van af te trekken
freehand-line,Freehand line,Ligne à main levée,Mano alzada,Lijn uit de vrije hand
freehand-polygon,Freehand polygon,Polygone à main levée,Polígono a mano alzada,veelhoek uit de vrije hand
from-file,From,Fichier parent,Archivo padre,Van file
from,From,Depuis,Desde,Van
gamma,Gamma,Gamma,Gama,Gamma
general,General,Général,General,Algemeen
geometry-info,"Geometry information (area, length)","Mesures (aire, périmètre, longueur)","Información de geometría (área, longitud)","Metingen (oppervlakte, omtrek, lengte)"
github-repository,GitHub repository,répertoire GitHub,Repositorio de GitHub,GitHub-gids
github,Github,Github,Github,Github
global-size,Global size,Taille globale,Tamaño global,Totale grootte
go-back,Go back,Page Précédente,Página anterior,Vorige pagina
green,Green,Vert,Verde,Groen
group-linked-annotations,Group linked annotations,Grouper les annotations liées,Anotaciones vinculadas a grupos,Gegroepeerde annotaties
guest,Guest,Invité,Invitado,Gast
height,Height,Hauteur,Altura,Hoogte
help,Help,Aide,Ayuda,Hulp
here,here,ici,aquí,hier
hide-by-default,Hide layer by default,Caché par défaut,Ocultar capa por defecto,Default verborgen
hide-contributors-layers-explanation,"If you check ""Hide contributos layers"", a ""simple"" contributor will not be able to see the layers of other contributors. Project managers will still be able to see all layers.","Si cette case est cochée, un ""simple"" contributeur ne pourra pas voir les calques des autres contributeurs du projet. Les responsables du projet seront quant à eux toujours en mesure de visualiser tous les calques.","Si marca &quot;Ocultar capas de colaboradores&quot;, un colaborador &quot;simple&quot; no podrá ver las capas de otros colaboradores. Los administradores del proyecto aún podrán ver todas las capas.","Als dit vakje is aangevinkt, kan een ""eenvoudige"" bijdrager de lagen van de andere bijdragers van het project niet zien. Projectmanagers kunnen nog steeds alle lagen bekijken."
hide-contributors-layers,Hide contributors layers,Cacher les calques des contributeurs,Ocultar capas de colaboradores,Verberg bijdragerlagen
hide-managers-layers-explanation,"If you check ""Hide managers layers"", a ""simple"" contributor will not be able to see the layers of project managers. Project managers will still be able to see all layers.","Si cette case est cochée, un ""simple"" contributeur ne pourra pas voir les calques des responsables du projet. Les responsables du projet seront quant à eux toujours en mesure de visualiser tous les calques.","Si marca &quot;Ocultar capas de administradores&quot;, un colaborador &quot;simple&quot; no podrá ver las capas de los administradores de proyectos. Los administradores de proyecto aún podrán ver todas las capas.","Als dit vakje is aangevinkt, kan een ""eenvoudige"" bijdrager de lagen van de projectmanagers niet zien. Projectmanagers kunnen nog steeds alle lagen bekijken."
hide-managers-layers,Hide managers layers,Cacher les calques des responsables,Ocultar capas de administradores,Lagen verbergen voor managers
hide-successful-upload,Hide successful uploads,Cacher les uploads réussis,Ocultar cargas exitosas,Succesvolle uploads verbergen
hierarchical-drag-drop-term,Terms can be organized hierarchically using Drag & Drop,Les termes peuvent être organisés de manière hiérarchique en utilisant le drag and drop,,Termen kunnen hiërarchisch worden georganiseerd door middel van Drag & Drop
histogram-scale,Histogram scale,Echelle des histogrammes,,Schaal van histogrammen
hour,Hour,Heure,Hora,Uur
hue,Hue,Teinte,Tono,Tint
huge,Huge,Très grand,Enorme,Erg groot
id,ID,ID,,ID
image-channels,Channels,Canaux,,Channels
image,Image,Image,Imagen,Afbeelding
image-consultations-info-message,An image consultation is recorded each time a user opens an image in Cytomine,Une consultation d'image est enregistrée à chaque ouverture d'image dans Cytomine,Se registra una consulta de imagen cada vez que un usuario abre una imagen en Cytomine,"Elke keer dat een afbeelding in Cytomine wordt geopend, wordt een beeldconsultatie opgeslagen"
image-center-position,image center position,centre de l'image,posición del centro de la imagen,positie in het midden van de afbeelding
image-consultations,Image consultations,Consultations d'images,Consultas de imagen,Afbeeldingen bekijken
image-depth,Depth,Profondeur,,Diepte
image-details,Image details,Détails de l'image,Detalles de la imagen,Afbeeldingsdetails
image-filters,Image filters,Filtres d'images,Filtros de imagen,Afbeeldingsfilters
image-group,Image group,Groupe d'images,Grupo de imágenes,Beeld groep
image-height,Height,Hauteur,,Hoogte
image-groups,Image groups,Groupes d'images,Grupos de imágenes,Beeldgroepen
image-in-review-by-since,This image is reviewed by {user} since {date},Cette image est en cours de validation par depuis le {date},{User} revisa esta imagen desde {date},Deze afbeelding wordt gevalideerd door sinds {date}
image-metadata,Image metadata,Métadonnées de l'image,Metadatos de imagen,Metagegevens van de afbeelding
image-not-reviewed,This image has not been reviewed,Cette image n'a pas été validée,Esta imagen no ha sido revisada,Deze afbeelding is niet gevalideerd
image-size,Image size,Taille de l'image,Tamaño de imagen,Afbeeldingsgrootte
image-time,Duration,Durée,,Duur
image-validated-by-on,This image has been validated by {user} on {date},Cette image a été validée par {user} le {date},Esta imagen ha sido validada por {usuario} el {fecha},Deze afbeelding is gevalideerd door {user} op {date}
image-width,Width,Largeur,,Breedte
images_downloadable_by_contributor-explanation,"If this is enabled, contributors will be able to download the images of this project","Avec cette option, les contributeurs pourront télécharger les images de ce projet","Si esta opción está habilitada, los colaboradores podrán descargar las imágenes de este proyecto.",Met deze optie kunnen bijdragers de afbeeldingen van dit project downloaden
images,Images,Images,Imágenes,Afbeeldingen
images_downloadable_by_contributor,Images downloadable by contributor,Images téléchargeables par les contributeurs,Imágenes descargables por los colaboradores,Afbeeldingen die kunnen worden gedownload door bijdragers
images-in-projects,Images in projects,Images au sein des projets,,Afbeeldingen binnen projecten
important-notes,Important notes,Remarques importantes,Notas importantes,Belangrijke opmerkingen
in-project,in {projectName},dans {projectName},en {projectName},in {projectnaam}
in-queue,In queue,Dans la file,En cola,In de wachtrij
in-review,In review,En cours de validation,En revisión,Review in proces
in-this-image,in this image,dans cette image,,op deze afbeelding
in-this-slice,in this slice,dans ce plan,,in dit slice
indeterminate,Indeterminate,Inconnu,Indeterminado,Onbekend
info-keyword-stop-preview-description,Add the keyword {keyword} where you want to delimit the preview text.,Insérez le mot-clé {keyword} à l'endroit où vous désirez que le texte de prévisualisation s'arrête.,Agregue la palabra clave {keyword} donde desea delimitar el texto de vista previa.,Voeg het trefwoord {keyword} in waar u de voorbeeldtekst wilt laten eindigen.
information,Information,Information,Información,Informatie
inspect-button,Inspect,Inspecter,,Inspecteren
insufficient-permission,You don't have the permission to view this page,Vous n'avez pas la permission de consulter cette page,No tiene permiso para ver esta página,U heeft geen toestemming om deze pagina te bekijken
intensities-manipulation,Intensities adjustment,Ajustement des intensités,,Aanpassing van intensiteiten
invalid-password,Invalid password,Mot de passe incorrect,Contraseña inválida,Fout wachtwoord
invalid-token,Invalid token,Token invalide,Token no válido,Ongeldige token
inverse,Inverse,Inverse,Inverso,Omgekeerd
key,Key,Clé,Llave,Sleutel
language,Language,Langue,Idioma,Taal
large,Large,Grand,Grande,Groot
last-activity,Last activity,Dernière activité,Última actividad,Laatste Activiteit
last-connection,Last connection,Dernière connexion,Última conexión,laatste verbinding
last-connections,Last connections,Dernières connexions,Últimas conexiones,Laatste verbindingen
last-consultation,Last consultation,Dernière consultation,Última consulta,Laatst gezien
last-day,Last day,Dernier jour,Último día,Laatste dag
last-image,Last image,Dernière image,Última imagen,Laatste afbeelding
last-month,Last month,Dernier mois,Último mes,Vorige maand
last-opened-image,Last opened image,Dernière image consultée,Última imagen abierta,Laatst bekeken afbeelding
last-project-connection,Last project connection,Dernière connexion au projet,Última conexión al proyecto,Laatste verbinding met het project
last-release,Last release,Dernière version,Ultimo lanzamiento,Laatste versie
last-week,Last week,Dernière semaine,Última pasada,Vorige week
last-year,Last year,Dernière année,Último año,Afgelopen jaar
lastname,Last name,Nom,Apellido,Naam
layer,Layer,Calque,Capa,Laag
layers-opacity,Layers opacity,Opacité des calques,Opacidad de las capas,Dekking van de lagen
ldap,LDAP,LDAP,LDAP,LDAP
legend,Legend,Légende,Leyenda,Legende
length,Length,Longueur,Longitud,Lengte
line,Line,Ligne,Línea,Lijn
linear,Linear,Linéaire,,Lineair
link,Link,Lier,Enlace,Koppeling
link-group,Group {number},Groupe {number},Grupo {number},Groep {nummer}
link-images,Link images,Synchronisation d'images,Enlace de imágenes,afbeeldingsynchronisatie
link-mode,Mode,Mode,,Mode
link-other-images-to-this-group,Link this group with additional images...,Synchroniser ce groupe avec d'autres images...,Vincula este grupo con imágenes adicionales ...,Synchroniseer deze groep met andere afbeeldingen...
link-to-project-upload-info,You are also able to link images with project manually after upload is done.,Vous aurez la possibilité d'associer manuellement les images à des projets lorsque l'upload sera terminé.,También puede vincular imágenes con el proyecto manualmente después de cargarlas.,U hebt de mogelijkheid om de afbeeldingen handmatig aan projecten te koppelen wanneer het uploaden is voltooid.
link-view-with,Link this view with...,Synchroniser cette image avec...,Vincula esta vista con ...,Synchroniseer deze afbeelding met...
link-with-project,Link with project,Associer à un projet,Enlazar con proyecto,Met een project koppelen
link-x-y-resolution,Link resolution along X and Y axes,Lier la résolution selon les axes X et Y,,De resolutie langs de X- en Y-as koppelen
linked-annotations,Linked annotations,Annotations liées,Anotaciones vinculadas,Gekoppelde annotaties
list,List,Liste,Lista,Lijst
listdomain,List of Cytomine domains,Liste de domaines Cytomine,Lista de dominios de Cytomine,Lijst met cytominedomeinen
